Abstract;Year
Systems methods and computer-readable media provide entity relation extraction across sentences in a document using distant supervision. A computing device can receive an input such as a document comprising a plurality of sentences. The computing device can identify syntactic and/or semantic links between words in a sentence and/or between words in different sentences and extract relationships between entities throughout the document. A knowledge base (e.g. a table chart database etc.) of entity relations based on the extracted relationships can be populated. An output of the populated knowledge base can be used by a classifier to identify additional relationships between entities in various documents. Machine learning can be applied to train the classifier to predict relations between entities. The classifier can be trained using known entity relations syntactic links and/or semantic links.</p>;2017
"The invention provides a method for extracting a document abstract based on a knowledge-based adaptive event index cognitive model and belongs to the field of natural language processing and automatic text abstract generation. According to the method the concepts of five types of indexes of an event index cognitive model are redefined and on a standard human memory model two dimensions of emotion attributes and core influence are applied to extract a document abstract; according to the method the process of understanding the text by human is closely reflected and the method has unique advantages in processing unstructured incomplete and fuzzy text contents therefore the method is suitable for various scenes and applications involving data uncertainty including machine learning intelligent applications image processing medical diagnosis applications and the like.";2019
The invention provides a space target knowledge graph construction system. The space target knowledge graph construction system comprises a text information collecting and processing module a literature information collecting and processing module a knowledge graph construction module and a knowledge graph display module. The problems that space target information is high in confidentiality high in specialty difficult to directly obtain and the like are solved. Space target related information such as news microblogs and academic periodicals is obtained. A data mining method is adopted space target information hidden behind massive information is researched space target attribute information is visually displayed the mutual relation between space targets is analyzed two kinds of knowledge maps are integrated by applying a software technology and a space target knowledge map system is constructed. The crawler and natural language processing technology is used so that the information collection and processing efficiency is improved. News and microblog data are preprocessed so that repeated crawling of the news data is avoided and the reliability of the microblog data participating in knowledge graph construction is improved.;2019
Examples of analyzing documents are defined. In an example a request to analyze a document may be received. A knowledge model corresponding to a guideline associated with the document may be obtained. The knowledge model may include at least one of a hypothetical question and a logical flow to determine an inference to the hypothetical question. The hypothetical question relates to an element of the guideline. Based on the knowledge model data from the document may be extracted for analysis using an artificial intelligence (AI) component. The Ai component may be configured to extract and analyze data based on the knowledge model. Based on the analysis a report indicating whether the document falls within a purview of the guideline may be generated.;2019
"The invention relates to a method for displaying a global industrial chain which comprises the following steps: 1 collecting data of a company web page according to a company web site in a web sitedatabase and obtaining corresponding web page text information; 2 carrying out data cleaning to retain complete company information that is extracting company data from the web page text information obtained in the step 1 through natural language processing; 3 constructing a global enterprise knowledge map according to the company data obtained in the step 2 and combining the geographic position information of the corresponding company; Step 4 according to the query language of the corresponding graph database obtaining the industry distribution situation of the corresponding city through the query of the keywords of the cities of the specific countries and carrying out the visual display.";2019
Systems and methods are provided for a workflow framework that scriptwriters can utilize when developing scripts. A script can be parsed to identify one or more elements in a script and various visual representations of the one or more elements and/or a scene characterized in the script can be automatically generated. A user may develop or edit the script which can be presented in a visual and temporal manner. Information parsed from the script can be stored in basic information elements and used to create a knowledge bases.;2019
Systems and methods are provided for a workflow framework that scriptwriters can utilize when developing scripts. A script can be parsed to identify one or more elements in a script and various visual representations of the one or more elements and/or a scene characterized in the script can be automatically generated. A user may develop or edit the script which can be presented in a visual and temporal manner. Information parsed from the script can be stored in basic information elements and used to create a knowledge bases.</p>;2019
Systems and methods are provided for a workflow framework that scriptwriters can utilize when developing scripts. A script can be parsed to identify one or more elements in a script and various visual representations of the one or more elements and/or a scene characterized in the script can be automatically generated. A user may develop or edit the script which can be presented in a visual and temporal manner. Information parsed from the script can be stored in basic information elements and used to create a knowledge bases.</p>;2019
An AI-based data processing system analyzes a received information request to generate an interactive visualization including data responsive to the information request. The information request is processed to obtain the primary entity and one or more informational items related to the primary entity. Auxiliary entities and informational items related to the primary entity are identified and searches are executed on a knowledge base and the internet. The results from the searches are analyzed to obtain knowledge nuggets which are included into a selected one of a visualization template to generate the interactive visualization. If it is determined via user interactions with the interactive visualization that an informational gap exists between the information request and the data in the interactive visualization the interactive visualization can be updated to address the informational gap.</p>;2019
"The invention discloses an abstract extraction method and device based on an artificial intelligence expert system and the method comprises the steps: carrying out the dependency syntax analysis of an obtained to-be-processed information text and obtaining an information initial morpheme; inputting the information initial morphemes into a pre-trained expert knowledge base model to obtain information keyword elements; obtaining sentence vectors of corresponding sentences according to the information keyword elements; calculating the weight of the corresponding sentence according to the sentence vector; and screening a preset number of sentences according to the weight to form an abstract text. According to the method the abstract of the information text can be rapidly accurately and automatically extracted the defect of manual abstract extraction is overcome the abstract of the information text can be rapidly and accurately displayed or pushed to a reader and therefore the reading efficiency of the reader is improved.";2020
