Abstract;Year
"An expert system for determining a sentance according to an embodiment of the present invention comprises: a first database for storing information about sentence factors corresponding to a crime type; a second database for storing a corresponding relationship between a legal provision and the sentence factors; a knowledge base for storing result data including an application method for at least one among a law a precedent or a supreme court examination standard determined by condition data expressed with a logical combination of the sentence factors and legal experts experience or knowledge; and a control unit for calculating a sentence from information about the sentence factors received from a user and a combination of the information stored in the first database the second database and the knowledge base. COPYRIGHT KIPO 2015";2015
The invention relates to the relevant technical field of patent information processing in particular to a technical competition and patent early warning analysis method based on knowledge discovery. The invention provides an intelligent patent analysis method based on the knowledge discovery and provides an analysis result with a high visual degree for a user. In brief an intellectual property database and an industrial field knowledge library are extracted and analyzed to establish a thematic database and form a corresponding dataset. On the basis data mining and knowledge discovery tools including a vector space a neural network mathematical statistics and the like are utilized to disclose deep information which is contained behind data and a visual statement is provided for users. Finally through patent early warning analysis patent theme strategy coordinate analysis and patent theme life cycle analysis technical competition and patent early warning are realized.;2017
The invention relates to a reinforcement learning based law cognition method and device and a medium and aims at improving the artificial intelligence (AR) level especially the AR level in the law field via machine reinforcement learning and law knowledge feedback by utilizing machine learning technologies in the field of AR. According to the method device and computer readable medium law knowledge atlas is called law concepts are obtained the confidence of the law concepts is evaluated a law cognition result is obtained an evaluation network of the law cognition results is established and the law knowledge atlas is back fed and reinforced via the evaluation network. An evaluation mechanism is introduced to law knowledge identification and processing and the law knowledge processing capability of AR is improved.;2018
"The invention discloses a product concept novelty evaluation method based on a knowledge base. The method can directly calculate a product concept novelty value according to a product concept and canprevent uncertainty brought by expert evaluation. The method comprises the following steps: extracting product concepts from existing products and converting the product concepts into a data expression form and storing the product concepts into a product concept knowledge base; analyzing the product concept knowledge base using a mathematical statistics method and determining key characteristicparameters of each product concept; determining novelty indexes as evaluation standard obtaining a value and weight of each novelty index by an expert evaluation method determining a novelty valueof a product concept; using the key characteristic parameters of product concept as input of an artificial neural network and the novelty value of the product concept as output of the artificial neural network training the artificial neural network to obtain an evaluation model of product concept novelty which is used to evaluate novelty of a product concept to be evaluated.";2018
"The invention relates to multi-level multi-dimension semantic comprehension of legal knowledge by use of a machine learning technology in the artificial intelligence field and belongs to the field ofartificial intelligence. According to a method a device and a computer readable medium legal text content is preprocessed to obtain legal text information; based on a similar word model a similar phrase model and a similar long sentence model a semantic concept aggregation is generated to construct a semantic comprehension module; legal properties and legal rules are generated based on a legalproperty extraction model to construct a legal rule module; and the semantic comprehension module and/or the legal rule construction module are/is used to recognize the legal text information and generate a legal knowledge map. In this way a natural language in a legal text is deeply comprehended and the processing capability of the legal knowledge by artificial intelligence is expanded.";2018
"The invention discloses a remote complaint system for procuratorate. The system includes a system box body wherein a host for mounting an inspector system is arranged in the system box body; the inspector system is provided with a plurality of access paths; wherein a plurality of man-machine interaction devices connected with an inspector system are mounted on the system box body; the inspector system comprises an autonomous learning unit; a natural language processing unit and a legal knowledge map unit the inspector system is connected with the remote inspection auxiliary system through anetwork; the remote complaint system of the inspection hospital is used for performing complaint work on parties in different areas and inspectors in different areas; the device is simple in structure high in practicability and easy to use and popularize communication communication and tools are provided great convenience is provided for complaints of parties and case handling of inspectors and therefore the case handling efficiency and quality are greatly improved.";2019
"The invention discloses a case-related property knowledge base entity recognition method based on ensemble learning. The method comprises: enabling a plurality of randomly selected case-related property related legal documents to be subjected to training set preprocessing according to entity categories; training the T learners according to the obtained training set to obtain learners; randomly selecting two case-related property related legal documents which are not in the test set and constructing a development set; performing classification accuracy calculation on corpora in the developmentset by using the trained learners and constructing weights of the learners by using the classification accuracy of each learner; enabling legal documents related to case-related properties to be subjected to word segmentation constructing a test set and classifying each learner samples in the test set; and combining the classification results of all learners and obtaining a final entity recognition result by adopting a weighted voting method. The method can solve the entity recognition problem of a small-scale corpus and high accuracy requirements and can automatically complete the related knowledge fusion of case-related property disposal according to the existing legal provisions.";2020
"The invention discloses a document semantic tag extraction method and device electronic equipment and a readable storage medium and relates to the field of knowledge maps natural language processing and deep learning. According to the specific implementation scheme the method comprises the steps of obtaining a target document of a to-be-extracted semantic tag; inputting the target document into a target extraction model obtaining a semantic tag of the target document; wherein the target extraction model is obtained by training an initial extraction model the initial extraction model is used for executing a semantic tag identification task and a role information identification task and a result of the semantic tag identification task and a result of the role information identification task are used for adjusting parameters of the initial extraction model; and outputting the semantic tag of the target document. According to the method the accuracy of the semantic tags can be high.";2020
"The embodiment of the invention provides an element obtaining method and device and relates to the field of knowledge maps and deep learning in the artificial intelligence technology. The method comprises the steps of: obtaining a source text; splitting the source text into a plurality of sub-paragraphs wherein each sub-paragraph comprises a session with complete semantics; respectively identifying elements in the plurality of sub-paragraphs; determining the states of the elements in the plurality of sub-paragraphs according to the time veins of the source text and recording the states of the elements as states with later time under the condition that the states of the elements are changed; and determining the element in the normal state as a target element. According to the time veinsof the source text and the sub-paragraphs of the session containing the complete semantics the states of the elements can be modified in real time and the accurate elements can be obtained.";2020
"The invention relates to the technical field of data processing and discloses a data processing method. Auxiliary court judgment is realized by constructing a legal knowledge graph of court trial cases wherein the knowledge graph is composed of various nodes and node relations and has the advantage of representing various complex relations naturally and the knowledge graph is a relation graph combining a knowledge method and human cognition is also a basis for realizing artificial intelligence and is an important method for a machine to understand natural language and construct a knowledge network; the invention further provides a data processing device and equipment and a computer readable storage medium the atlas is used for achieving auxiliary case judgment employees are greatlyhelped to rapidly retrieve related legal affair content online and therefore the quality and efficiency of court judgment work are improved.";2020
