Abstract,Year
Methods and systems for knowledge extraction that involve providing analytics and blending the analytics with analysis of one or more knowledge processes are provided. Knowledge extraction may be based on combining analytic approaches such as statistical and machine learning approaches. Unstructured data such as numerical geo-spatial text speech image video data and music may be used as input for these processes. The methods and systems may convert this unstructured data into a structured knowledge that has some specific utility to its user. Some embodiments may involve service requests delivery information and knowledge extraction information and knowledge retrieval media mining marketing and other uses. Different granularity levels of knowledge and information extraction may be provided. This differentiation may be used for monetization of the service.</p>,2015
A mechanism is provided in a data processing system for rating difficulty of a question. The mechanism receives an input question and generates one or more candidate answers from a corpus of knowledge using a pipeline of software engines. The pipeline of software engines generates a plurality of features extracted from the question the one or more candidate answers or the corpus of knowledge. The mechanism then generates a question difficulty score based on the plurality of features using a machine learning model. The machine learning model maps features to assigned weights for scaling the difficulty score.</p>,2015
The invention provides a knowledge retrieving method of an artificial intelligence dialogue and a knowledge base automatic improving method. The knowledge retrieving method of the artificial intelligence dialogue comprises the steps of 1 obtaining a question statement of a user 2 conducting semantic and intention analysis on the question statement to obtain a question identification 3 according to the question identification searching for a local answer in a local knowledge base 4 obtaining the local answer and fusing local question data and replying the local question data to the user 5 when the local answer is not searched in the local knowledge base according to the question identification searching for a remote answer in a data source 6 obtaining the remote answer and fusing the remote answer and replying the remote answer to the user. According to the knowledge retrieving method of the artificial intelligence dialogue and the knowledge base automatic improving method when the local knowledge base has no resource the remote answer in the data source is searched for and the occurrence that because entity coverage of a mapping knowledge domain is not sufficient during a human-computer dialogue a robot cannot give an answer is avoided.,2017
The present invention discloses methods systems and tools for knowledge processing and visualizations by building various data structures corresponding to uncovered informational data such as values of association strengths or significance measures and maps of ontological subjects of compositions or one or more content accompanying a request for service by a user. In one embodiment of the invention the method assigns and calculates an ontological subject association strength/value measures and spectrums to each composition or ontological subjects of the composition. The resulting data spectrums and the adjacency matrix of the map or visualization are used to evaluate the merits of the compositions in the context of reference universes. It is also used as a research guiding tool for knowledge discovery or automatically generating high value compositions or new or less known knowledge about the ontological subjects of the universe. The invention serves knowledge seekers knowledge creators intelligent machines or robots inventors discoverer as well as general public by assisting and guiding users to assess their work identify their unknowns optimize their research trajectory and provide higher quality content. The method and system thereby is instrumental in increasing the speed and efficiency of knowledge acquisition machine learnings autonomous decision making navigations discovery retrieval as well as faster learning and problem solving.,2018
In an example embodiment knowledge discovery using deep learning is combined with the scalability and personalization capabilities of generalized additive mixed effect (GAME) modeling. Specifically features learned in a last fully connected layer of a deep learning model may be used to augment features used in a fixed or random effects training portion of a GAME model.,2019
ABSTRACT OF THE INVENTIONClassical supervised rule-based approaches can be used effectively in many domains like sentiment analysis and cannot be ignored completely compared with unsupervised techniques which can be detrimental to accuracy. The objective is to design an expert system to address the difficult problem of text-based sentiment analysis using the classical supervised approach. It is a unified framework for knowledge-base and rule-engine that is reliable portable interoperable and easy to modify in Java. The rules are designed based on standards and to enhance the knowledge base cross-domain inputs are used. The system is compared with existing rule-based engines and results prove that R-SA outperforms existing state-of-the-art classical approaches like Jess IBM MS-BRE and Drools thereby providing a robust and high-performance expert system for textual sentiment analysis and many other applications.,2019
An expert system processes communication data to extract entities and topics. The expert system generates relationship graphs and relationship scores between the entities and topics. The system can identify entities that are expert in a given topic. The expert system uses a knowledge engine to provide different services and applications.,2019
Systems and methods described receiving a set of example data and a set of knowledge based data and combine the set of example data and the set of knowledge based data to generate a set of combined data. The combined set can be used to train a machine learning model based on the set of combined data. The machine learning model is applied to a new set of received data for a new subject.</p>,2020
Provided are a computer program product system and method for determining tags to recommend for a document. A natural language processing module determines a document keyword for a document. A tag database search module determines a tag in a tag database associated with the document keyword. A domain specific search module determines a domain specific tag in a domain specific knowledge base associated with the document keyword. A recommendation is made of at least one of the tag and the domain specific tag as a recommended tag for the document.</p>,2020
Disclosed are a method for automatically measuring the video picture quality using machine learning-based characteristics and knowledge-based characteristics and a device therefor. According to one embodiment of the present invention the method for automatically measuring the video picture quality calculates a picture quality prediction value of a frame unit by inputting a target video for measuring the picture quality a reference video to be compared and a knowledge-based characteristic in a machine learning-based frame unit characteristic extraction model generates a frame score vector by combining all picture quality prediction values in units of frames inputs the frame score vector into a convolutional neural network to calculate temporal weights of the same magnitude as the frame score vector and outputs a picture quality prediction value of the target video by inputting the result of a dot product of the frame score vector and the temporal weight to a fully connected neural network. COPYRIGHT KIPO 2022,2021
"The invention relates to a land surface temperature estimation method based on expert knowledge-model-data driving and machine learning. It can provide accurate surface temperature data for remote sensing departments such as satellite sensor design meteorology agricultural drought and environmental monitoring. This method overcomes the shortcomings of traditional methods which need to obtain prior knowledge of land surface type and atmospheric water vapor and overcomes the shortcomings of difficulty in obtaining key parameters. According to the corresponding sensor band setting based on the radiation transmission balance equation and expert knowledge the method analyzes how to obtain the four unknowns of the single equation namely the surface temperature the atmospheric transmittance the surface emissivity and the average atmospheric action temperature and determines the best band combination for the sensor to carry out the surface temperature inversion and then uses the machine learning method to carry out the optimization calculation. Then according to different sensor bands the radiation transmission simulation database is constructed by using the radiation transmission model. If there are reliable ground station data and on-board data it can be supplemented appropriately so as to construct the training and test database. Then a dynamic learning neural network model is constructed to learn and calculate the surface temperature. If the accuracy does not meet the requirements through verification and comparison the database is reconstructed and tested repeatedly until the accuracy meets the conditions. 
 FIGURES
 High resolution (40M) Medium resolution (1 KM) Low resolution (1 KM)
   
 Land surface temperature",2021
There is described a computer-implemented framework for identifying a machine learning pipeline to process a subject dataset using a knowledge base storing for a plurality of different datasets performance metrics for one or more different machine learning pipelines. The method involves identifying datasets in the knowledge base that are similar to the subject dataset and then selecting candidate machine learning pipelines in dependence upon the performance metrics for the machine learning pipelines stored in the knowledge base in association with the identified datasets. The candidate machine learning pipelines are then tested to determine performance metrics for each candidate machine learning pipeline with the testing of the candidate machine learning pipelines being executed in dependence on available computing resources and an available time budget.,2021
A method of operating a telecommunication network comprising one or more assisted systems and one or more intelligent systems (Artificial Intelligence AI modules) comprising the step of: publishing knowledge from the one or more intelligent systems to a knowledge repository in response to the knowledge being updated. The arrangement provides a mechanism to re-use analytics knowledge and trained models between more than one artificial intelligence AI module and/or provide co-operation between different AI modules to accomplish one or more tasks for the assisted system. The knowledge repository may be an unstructured data storage function UDSF. The AI modules may consult the repository to retrieve knowledge from it before collecting real-time raw network data so as to perform an intelligent task. The network (assisted system) may be a 5G Service Based Architecture (SBA).,2021
The invention discloses a knowledge extraction method fusing a genetic algorithm and a decision tree algorithm and relates to the fields of classification data mining and the like based on remote sensing images. The method comprises the steps of preparing a remote sensing classification result and classification feature data randomly extracting a training sample set in a layered manner initializing a genetic algorithm constructing a decision tree through randomly generated gene combinations and samples and simulating random features and random sample features of a random forest screening a rule chain of an interested category for any constructed decision tree and obtaining a classification result according to a rule comparing the screened classification result with the existing classification result calculating an error rate as the fitness of an evaluation function and recording a rule chain and a corresponding error rate and iterating the genetic algorithm to a specified number of times or meeting a convergence condition sorting a series of rules in an ascending order according to error rates and taking the rule with the minimum error rate as explicit knowledge. According to the method implicit knowledge can be effectively converted into understandable explicit knowledge and certain repeatability and robustness are achieved.,2021
