İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
137837-312,17/04/2024,Pamukkale,Daire,1 + 0,32,28,-1,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,670000,,
140093-627,11/05/2024,Pamukkale,Daire,2 + 1,100,90,2,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1975000,Kat İrtifakı,"Kuzey, Doğu"
0-42650165,15/05/2024,Pamukkale,Daire,3 + 1,125,110,3,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,3100000,Kat Mülkiyeti,
102131-32041,14/05/2024,Pamukkale,Daire,3 + 1,160,150,6,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
131521-312,15/05/2024,Pamukkale,Daire,1 + 1,40,35,0,7,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,999000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135386-159,15/05/2024,Pamukkale,Daire,2 + 1,100,95,5,5,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3700000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135972-99,15/05/2024,Pamukkale,Daire,2 + 1,115,90,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1890000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
102793-2411,15/05/2024,Pamukkale,Daire,2 + 1,160,140,1,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2100000,Kat İrtifakı,Güney
134506-319,14/05/2024,Pamukkale,Daire,2 + 1,80,75,2,10,Kombi,3,Uygun,Eşyalı,1,Sıfır,Hayır,1550000,,"Kuzey, Güney, Batı"
135972-79,15/05/2024,Pamukkale,Daire,3 + 1,160,140,4,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,2700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
