İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
137837-312,17.04.2024,1,0,1,1,32,28,-1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,1,0,670000,0,0,0,1,0,0,0,0,1
140093-627,11.05.2024,1,0,1,3,100,90,2,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,1,1975000,0,1,0,0,1,0,1,0,0
0-42650165,15.05.2024,1,0,1,4,125,110,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,1,0,0,3100000,0,0,1,0,0,0,0,0,1
102131-32041,14.05.2024,1,0,1,4,160,150,6,30,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,0,1,0,2399000,0,0,1,0,1,1,1,1,0
131521-312,15.05.2024,1,0,1,2,40,35,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,0,1,999000,0,1,0,0,1,1,1,1,0
135386-159,15.05.2024,1,0,1,3,100,95,5,5,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,3700000,0,1,0,0,1,1,1,1,0
135972-99,15.05.2024,1,0,1,3,115,90,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1890000,0,0,1,0,1,1,1,1,0
102793-2411,15.05.2024,1,0,1,3,160,140,1,30,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2100000,0,1,0,0,0,1,0,0,0
134506-319,14.05.2024,1,0,1,3,80,75,2,10,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,1,1550000,0,0,0,1,1,1,0,1,0
135972-79,15.05.2024,1,0,1,4,160,140,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,0,1,0,2700000,0,0,1,0,1,1,1,1,0
135386-161,15.05.2024,1,0,1,3,85,80,3,10,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1990000,0,1,0,0,1,1,1,1,0
131521-305,15.05.2024,1,0,1,3,115,100,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,2400000,0,0,0,1,0,0,0,0,1
