Ilce,OdaSayisi, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati
Pamukkale,1,28,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,670000
Pamukkale,3,90,Alt Kat,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1975000
Pamukkale,4,110,Alt Kat,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,3100000
Pamukkale,4,150,Üst Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000
Pamukkale,2,35,Alt Kat,7,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,999000
Pamukkale,3,95,Üst Kat,5,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3700000
Pamukkale,3,90,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1890000
Pamukkale,3,140,Alt Kat,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2100000
Pamukkale,3,75,Alt Kat,10,Kombi,3,Uygun,Eşyalı,1,Sıfır,Hayır,1550000
Pamukkale,4,140,Orta Kat,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,2700000
Pamukkale,3,80,Alt Kat,10,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1990000
Pamukkale,3,100,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2400000
Pamukkale,4,110,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000
Pamukkale,4,155,Alt Kat,12,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000
Pamukkale,2,35,Alt Kat,5,Kombi,5,Bilinmiyor,Eşyalı,1,Sıfır,Bilinmiyor,975000
Pamukkale,7,300,Orta Kat,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000
Pamukkale,2,58,Alt Kat,11,Kombi,6,Uygun,Eşyalı,1,İkinci El,Evet,1310000
Pamukkale,3,95,Üst Kat,15,Kombi,13,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1340000
Pamukkale,1,15,Alt Kat,20,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,750000
Pamukkale,3,125,Orta Kat,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000
Pamukkale,2,40,Orta Kat,7,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1150000
Pamukkale,6,185,Orta Kat,16,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,2300000
Pamukkale,3,110,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1999999
Pamukkale,2,65,Alt Kat,2,Merkezi,2,Uygun,Eşyalı,1,İkinci El,Evet,2250000
Pamukkale,3,115,Orta Kat,28,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000
Pamukkale,4,145,Alt Kat,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1900000
Pamukkale,4,145,Alt Kat,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,5495000
Pamukkale,4,140,Alt Kat,26,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,3468000
Pamukkale,5,210,Alt Kat,5,Kombi,4,Uygun,Eşyalı Değil,3,İkinci El,Hayır,4500000
Pamukkale,5,180,Alt Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,6950000
Pamukkale,2,50,Alt Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1249000
Pamukkale,4,120,Üst Kat,35,Kombi,5,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,1175000
Pamukkale,4,110,Alt Kat,25,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,5000000
Pamukkale,4,110,Alt Kat,27,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2250000
Pamukkale,4,148,Alt Kat,27,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2300000
Pamukkale,4,170,Alt Kat,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000
Pamukkale,5,160,Alt Kat,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2700000
Pamukkale,3,110,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1850000
Pamukkale,4,105,Alt Kat,36,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,1799000
Pamukkale,5,190,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,6500000
Pamukkale,3,60,Alt Kat,11,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000
Pamukkale,3,80,Alt Kat,9,Yerden Isıtma,3,Uygun,Bilinmiyor,1,İkinci El,Hayır,1800000
Pamukkale,4,155,Alt Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2900000
Pamukkale,5,167,Alt Kat,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,3290000
Pamukkale,4,120,Alt Kat,21,Kat Kaloriferi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3500000
Pamukkale,2,65,Alt Kat,3,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1109000
Pamukkale,3,100,Alt Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3075000
Pamukkale,4,150,Alt Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3000000
Pamukkale,3,135,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1950000
Pamukkale,3,110,Alt Kat,5,Merkezi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2500000
Pamukkale,4,135,Alt Kat,15,Kombi,5,Uygun,Eşyalı Değil,2,İkinci El,Hayır,1750000
Pamukkale,4,155,Alt Kat,16,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000
Pamukkale,3,73,Üst Kat,7,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1425000
Pamukkale,2,50,Orta Kat,5,Yerden Isıtma,7,Uygun,Eşyalı,1,İkinci El,Evet,1449000
Pamukkale,2,45,Alt Kat,0,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1900000
Pamukkale,4,130,Alt Kat,15,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1875000
Pamukkale,3,110,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1800000
Pamukkale,3,95,Alt Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1650000
Pamukkale,2,50,Alt Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1575000
Pamukkale,3,95,Alt Kat,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000
