Year,Abstract
2020,"A system of multi-modal transmission of packetized data in a voice activated data packet based computer network environment is provided. A natural language processor component can parse an input audio signal to identify a request and a trigger keyword. Based on the input audio signal, a direct action application programming interface can generate a first action data structure, and a content selector component can select a content item. An interface management component can identify first and second candidate interfaces, and respective resource utilization values. The interface management component can select, based on the resource utilization values, the first candidate interface to present the content item. The interface management component can provide the first action data structure to the client computing device for rendering as audio output, and can transmit the content item converted for a first modality to deliver the content item for rendering from the selected interface."
2020,"Providing for accurate translation of elements in a web application is accomplished through systems and methods of efficiently debugging translations for error-free localization. In an exemplary approach, a source language file and a translated language file of string properties and other elements of a UI are compared, and visual coding of string properties and the other elements is generated in a user interface panel. The visual coding distinguishes among characteristics relating to translation states. Edits to the string properties can be displayed as they are made, and an ad hoc changes list produced by the edits can be exported."
2020,"Described herein are systems and methods for a virtual communication and collaboration application platform which automates the setup and operation of a virtual collaboration session, senses and reacts to user activity and contextual cues, and provides real-time intuitive interaction steps to enable users to easily interact in a simple and user-friendly manner. The Virtual Collaboration and Computing Platform provides a shared application window visible to multiple users on different displays for which users can easily share multiple types of data and applications through basic drag-and-drop interactions."
2020,"Methods and systems for generating performance profiles using electronic activities linked to record objects are disclosed. Exemplary implementations may: access a record objects of a system of record of a data source provider; identify, from the record objects, a subset of record objects associated with a node profile corresponding to an entity; identify, for each record object of the subset, electronic activities linked to the record object; determine, for each record object of the subset, a respective entity engagement profile for the entity based on the electronic activities linked to the record object and one or more object field-value pairs of the record object; generate a composite entity engagement profile of the entity based on each respective entity engagement profile corresponding to each record object of the subset of record objects; and store, in one or more data structures, an association between the entity and the entity performance profile."
2020,"An context-based encoding mechanism uses a predetermined number of bytes in a previous segment of a file to determine a context for the current segment. The current segment is encoded using a dictionary that corresponds to the determined context. An example method includes determining, for a first segment in a data file, a first context state based on a first context segment within the data file that precedes the first segment, identifying a first indexed dictionary from a plurality of indexed dictionaries based on the first context state, and encoding the first segment using the identified first indexed dictionary."
2020,"The present disclosure relates to a system, method and non-transitory computer readable medium. The system includes at least one computer-readable storage medium including a set of instructions and at least one processor in communication with the at least one computer-readable storage medium. When executing the set of instructions, the at least one processor is directed to: receive a first electrical signal including an address text; operate logical circuits in the at least one processor to: determine a first category of the address text based on a categorization model; determine a first segmentation model based on the first category of the address text; and determine one or more segments of the address text based on the first segmentation model."
2020,"Social customer service and support systems integrated with social media and social networks are disclosed. More particularly, a social customer care platform system is disclosed to allow customer care functions, and in particular to allow customer service agents to identify, prioritize, match and triage customer support requests that may arise through a social network and may be serviced using a social network. It manages and tracks a high-volume of customer interactions and provides for monitoring of Internet social network posts relevant to a business's products or services along with the ability to capture, monitor, filter, make sense of and respond to, in near real-time, tens of thousands of social interactions."
2020,An iterative language translation system includes multiple communicatively connected statistical speech translation systems. The system includes an automatic speech recognition component adapted to recognize spoken language in a source language and to create a source language hypothesis. A machine translation component is adapted to translate the source language hypothesis into a target language. The system also includes a second automatic speech recognition component and second machine translation component. The translation results are used to adapt the automatic speech recognition components and the language hypotheses are used to adapt the machine translation components.
2020,Techniques are provided for flexible caching.
2020,"A computerized search method includes receiving first input designating a first location of a first analytic. The method includes, in response to a scheduling event, obtaining a first document from the first location, identifying a first predefined label within the first document, obtaining first and second data associated with the first predefined label, storing the first datum into a value index as a current value of the first analytic, and storing the second datum into a text index as a textual description of the first analytic. The method includes presenting a search interface and, in response to receiving a search query from a user: identifying a set of result analytics relevant to the search query based on the text index and presenting, for each of the result analytics, a textual description of the analytic from the text index and a most recent value of the analytic from the value index."
